Date,AAPL,MSFT,QQQ,SPY,TLT
2020-01-02,72.40052032470703,152.1583709716797,208.3175506591797,296.8880615234375,113.74642181396484
2020-01-03,71.69661712646484,150.2637481689453,206.40939331054688,294.6400451660156,115.49817657470703
2020-01-06,72.26792907714844,150.65220642089844,207.7393341064453,295.76409912109375,114.84235382080078
2020-01-07,71.92804718017578,149.27854919433594,207.71038818359375,294.9324951171875,114.27774810791016
2020-01-08,73.0851058959961,151.6563262939453,209.2716064453125,296.5042724609375,113.52239990234375
2020-01-09,74.63749694824219,153.5509490966797,211.0448760986328,298.51483154296875,113.92086791992188
2020-01-10,74.80622100830078,152.8404541015625,210.50515747070312,297.6558837890625,114.93367767333984
2020-01-13,76.40442657470703,154.67825317382812,212.9337615966797,299.702880859375,114.58500671386719
2020-01-14,75.37273406982422,153.58885192871094,212.09530639648438,299.2459411621094,115.17444610595703
2020-01-15,75.04969787597656,154.58352661132812,212.1820526123047,299.9222717285156,115.93824005126953
2020-01-16,75.98979949951172,157.41600036621094,214.21548461914062,302.41705322265625,115.5729751586914
2020-01-17,76.83108520507812,158.29705810546875,215.27566528320312,303.3584289550781,114.58500671386719
2020-01-21,76.3104248046875,157.72860717773438,215.1792755126953,302.7642822265625,115.78877258300781
2020-01-22,76.58280944824219,156.9707489013672,215.74781799316406,302.8009338378906,116.19561004638672
2020-01-23,76.9516372680664,157.9370574951172,216.44166564941406,303.148193359375,117.0091552734375
2020-01-24,76.72982025146484,156.3455352783203,214.62026977539062,300.4522705078125,117.95565795898438
2020-01-27,74.47357940673828,153.73095703125,210.1872100830078,295.6361999511719,119.7903823852539
2020-01-28,76.58038330078125,156.7434539794922,213.4156036376953,298.7341613769531,118.85228729248047
2020-01-29,78.18340301513672,159.1875,213.76260375976562,298.4874572753906,120.01456451416016
2020-01-30,78.0700912475586,163.67779541015625,214.52394104003906,299.4561462402344,120.0311279296875
2020-01-31,74.60858154296875,161.26211547851562,211.12196350097656,294.0186767578125,121.12700653076172
2020-02-03,74.4036636352539,165.19354248046875,214.3118438720703,296.20281982421875,121.02890014648438
2020-02-04,76.8600082397461,170.63113403320312,219.21725463867188,300.71734619140625,119.39900970458984
2020-02-05,77.48675537109375,170.4227294921875,219.94003295898438,304.18994140625,118.09343719482422
2020-02-06,78.39310455322266,173.95623779296875,221.8385467529297,305.2135009765625,118.6255874633789
2020-02-07,77.3275375366211,174.20252990722656,220.8844451904297,303.5868225097656,120.10582733154297
2020-02-10,77.69480895996094,178.75912475585938,223.55397033691406,305.8531494140625,120.43852233886719
2020-02-11,77.22604370117188,174.72352600097656,223.59249877929688,306.3831787109375,119.8314437866211
2020-02-12,79.05998992919922,174.97933959960938,225.77049255371094,308.3571472167969,119.22442626953125
2020-02-13,78.49700927734375,174.03201293945312,225.4813690185547,308.0281982421875,119.68167114257812
2020-02-14,78.51636505126953,175.5856170654297,226.12709045410156,308.52166748046875,120.20569610595703
2020-02-18,77.07867431640625,177.36654663085938,226.2137908935547,307.7266540527344,121.02890014648438
2020-02-19,78.19497680664062,177.89852905273438,228.38217163085938,309.1980285644531,121.02054595947266
2020-02-20,77.39276123046875,175.18177795410156,226.261962890625,307.92767333984375,121.96861267089844
2020-02-21,75.6409912109375,169.6438446044922,221.9156494140625,304.7565612792969,123.10791015625
2020-02-24,72.04801940917969,162.3295135498047,213.35777282714844,294.6492004394531,124.94564056396484
2020-02-25,69.60760498046875,159.65084838867188,207.5562286376953,285.720703125,125.61093139648438
2020-02-26,70.71182250976562,161.6455841064453,208.6259307861328,284.6697998046875,124.94564056396484
2020-02-27,66.08951568603516,150.25619506835938,198.17918395996094,271.884765625,126.30117797851562
2020-02-28,66.05085754394531,153.8943328857422,198.33340454101562,270.742431640625,129.15347290039062
2020-03-02,72.20022583007812,164.13436889648438,208.56813049316406,282.4674072265625,128.20326232910156
2020-03-03,69.90721893310547,156.26913452148438,201.87991333007812,274.3796081542969,130.19357299804688
2020-03-04,73.14984130859375,162.006591796875,210.3027801513672,285.91265869140625,128.81118774414062
2020-03-05,70.77708435058594,157.94097900390625,203.91339111328125,276.4084167480469,132.01754760742188
2020-03-06,69.83715057373047,153.47642517089844,200.47288513183594,271.8390808105469,138.8881378173828
2020-03-09,64.31358337402344,143.0749053955078,186.54714965820312,250.60989379882812,142.65249633789062
